Source,Use Case,Rating,Risk Summary,AI Suitability
Weibo (scraped),Chinese social media,C,Geopolitical complexity + scraping risk,Use only for region-specific models with caution
Dataset 31,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 32,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 33,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 34,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 35,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 36,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 37,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 38,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 39,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 40,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 41,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 42,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 43,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 44,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 45,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 46,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 47,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 48,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 49,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 50,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 51,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 52,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 53,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 54,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 55,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 56,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 57,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 58,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 59,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 60,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 61,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 62,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 63,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 64,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 65,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 66,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 67,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 68,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 69,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 70,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 71,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 72,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 73,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 74,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 75,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 76,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 77,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 78,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 79,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 80,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 81,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 82,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 83,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 84,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 85,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 86,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 87,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 88,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 89,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 90,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 91,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 92,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 93,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 94,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 95,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 96,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 97,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 98,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 99,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
Dataset 100,Various use cases,B,Placeholder entry – to be rated and verified,Needs review
